# cam_id width height fx fy cx cy k1 k2 p1 p2 cam_name qvecw qvecx qvecy qvecz tvecx tvecy tvecz
1 1280 720 1050.7759955811405 1054.6088855509197 605.933575783192 340.78853377020636 -0.392191184204557 0.13957587632116275 -0.0005709845712113381 0.00027931852369117004 cam00 -0.2314121448446607 -0.09498587065716271 0.93550075064407 0.24952845356447084 0.04041153435052688 0.40436716522870786 4.059313654294112
2 1280 720 1069.3643091791246 1069.9095378920715 685.3646202596138 338.30030288926133 -0.418841345380552 0.18809705251071618 -0.0026782187682540667 0.0014995153441690824 cam01 0.6167877238032934 0.09604759667238008 -0.7373694042000006 -0.25813586478586853 -0.29190148186677545 0.029914844231124418 4.0359929647818555
3 1280 720 1060.7889138998532 1061.4142622646555 652.8422420616018 323.7072771608099 -0.4148452692541729 0.17306873986790464 -0.0010776568119551548 -0.0009593570515379318 cam02 -0.45200576351082244 0.15137861563131133 0.8687758898217228 -0.13417808221546493 0.24306522173602152 -0.07666226782031374 3.455163475859422
4 1280 720 1058.6585495400848 1055.2762313758599 629.0224930514053 350.43885291581205 -0.39617163533765104 0.144540168852229 0.00012353558898123371 0.0017925731758205287 cam03 -0.2836624976974118 0.2175641763162316 0.921424584362561 -0.15224372537542338 0.7935568366479024 0.32801900598769335 3.864756145629099
5 1280 720 1055.7886490111268 1058.3770735053226 624.4509063316652 361.59664288409414 -0.42581583528425243 0.1995704835907676 0.0016790767301697166 -0.0014688330305474948 cam04 0.7111355211280191 0.051832854736724096 -0.6941897461854076 -0.09848970530396423 0.5091469815174696 -0.555691923280369 3.2739938109604387
6 1280 720 1054.9863437503489 1056.9419147298267 670.0279043924971 358.3967346715049 -0.3930469381856891 0.1395974875847025 -0.0013162533201292906 -0.00027155467514814195 cam05 0.633695043208383 -0.12069141050080914 -0.7468452727244607 0.1615125823382714 0.12474969243114639 -0.019568091593397643 3.812059337983948
7 1280 720 1057.6386092052046 1057.059106972092 632.8346762999437 365.98357802669796 -0.4216520480702954 0.21737232724735708 -0.0011582488703517373 0.000805703495781192 cam06 -0.3842862711519831 -0.08211646746747077 0.8692007578095603 0.30011829367443543 -0.4018625035000514 0.14028242220853543 3.6287281841195567
8 1280 720 1051.3522652092975 1052.3294651221975 644.548305632757 392.88092359219763 -0.4171373031315061 0.1743522140131108 -0.0028761793778252 0.0012772233304682542 cam07 -0.13659471733105694 -0.02033346748154833 0.9804300359060636 0.14030459005556647 -0.48884678139937104 -0.3961944449402247 3.540743442737762
9 1280 720 1067.2542123254518 1068.483507202619 688.5438421491191 361.2080441306852 -0.3828886227381811 0.08178811352602985 -0.005102808453536036 -0.003890734484374803 cam08 0.8255261961307363 0.10799176016656371 -0.5202539303312055 -0.19021074421014678 0.6939133060637108 0.28411216873442074 3.8384239269938782
10 1280 720 1060.849077645196 1058.5203279020407 649.8263077072551 379.30073780752025 -0.4067244465444432 0.15148970854552984 -0.0020502277880972693 0.0004450749499943341 cam09 0.9633283756215482 0.19706435361595076 -0.14680245667913797 -0.1077641868583758 -0.5043074579923704 0.19434128409209903 3.490954098087429
