# cam_id width height fx fy cx cy k1 k2 p1 p2 cam_name qvecw qvecx qvecy qvecz tvecx tvecy tvecz
1 1280 720 1050.7759955811405 1054.6088855509197 605.933575783192 340.78853377020636 -0.392191184204557 0.13957587632116275 -0.0005709845712113381 0.00027931852369117004 cam00 -0.23088241208837684 -0.09479037989346076 0.935295936319192 0.25085774289966073 0.7547160696407605 -0.3647921732424303 1.382661677623649
2 1280 720 1069.3643091791246 1069.9095378920715 685.3646202596138 338.30030288926133 -0.418841345380552 0.18809705251071618 -0.0026782187682540667 0.0014995153441690824 cam01 -0.6141628912958965 -0.09475409232198702 0.7385678650289529 0.2614251588693707 0.28095882109811476 -0.3516540978336359 0.8000188479823617
3 1280 720 1060.7889138998532 1061.4142622646555 652.8422420616018 323.7072771608099 -0.4148452692541729 0.17306873986790464 -0.0010776568119551548 -0.0009593570515379318 cam02 -0.45260753742223503 0.15194208872401838 0.8684133313002882 -0.13385927223281305 0.6513603951627044 -0.7859340233731222 1.3606620461808112
4 1280 720 1058.6585495400848 1055.2762313758599 629.0224930514053 350.43885291581205 -0.39617163533765104 0.144540168852229 0.00012353558898123371 0.0017925731758205287 cam03 -0.28590649118875117 0.21729776263627715 0.9208759864966014 -0.15174510912486106 0.7770774443139356 -0.6272028575190118 1.8119128156299256
5 1280 720 1055.7886490111268 1058.3770735053226 624.4509063316652 361.59664288409414 -0.42581583528425243 0.1995704835907676 0.0016790767301697166 -0.0014688330305474948 cam04 -0.7010695759459569 -0.05110176882406277 0.7033844676588444 0.10554785437086121 0.5344395416051532 -0.727196287582009 0.49176635093150495
6 1280 720 1054.9863437503489 1056.9419147298267 670.0279043924971 358.3967346715049 -0.3930469381856891 0.1395974875847025 -0.0013162533201292906 -0.00027155467514814195 cam05 -0.6339873131746118 0.12197086004572423 0.7466034087106213 -0.16051961292946126 0.550751642888579 -0.7696764858061305 1.2773268604885322
7 1280 720 1057.6386092052046 1057.059106972092 632.8346762999437 365.98357802669796 -0.4216520480702954 0.21737232724735708 -0.0011582488703517373 0.000805703495781192 cam06 -0.38434057672893296 -0.08420330414715989 0.8688275507487666 0.3005508471295188 0.47156673003673966 -0.3992834115832224 0.9187910159204832
8 1280 720 1051.3522652092975 1052.3294651221975 644.548305632757 392.88092359219763 -0.4171373031315061 0.1743522140131108 -0.0028761793778252 0.0012772233304682542 cam07 -0.13351881160957849 -0.025473724899641337 0.9805987032042117 0.14124446736181012 0.4910876459689286 -0.8021356609628294 1.3942814290752004
9 1280 720 1067.2542123254518 1068.483507202619 688.5438421491191 361.2080441306852 -0.3828886227381811 0.08178811352602985 -0.005102808453536036 -0.003890734484374803 cam08 0.825903463478152 0.10768647239754256 -0.5190884259803696 -0.19192263725415118 0.27519010209073563 -0.20399087303755314 0.637856318762253
10 1280 720 1060.849077645196 1058.5203279020407 649.8263077072551 379.30073780752025 -0.4067244465444432 0.15148970854552984 -0.0020502277880972693 0.0004450749499943341 cam09 0.9633463656754189 0.19727798380810435 -0.14640715272264737 -0.10775027831155996 -0.7100349227465914 -0.18168991688346642 0.6562945832814093
11 1280 720 1056.0192441043237 1052.6959604964377 573.1473710684802 392.45025825393003 -0.4097138388277222 0.1416537021991684 -0.002090336239631225 0.0021250806118403524 cam10 0.9289405055932721 0.2536082372682229 -0.2540585550338983 -0.09059056061151433 -0.09985383827608393 -0.19374386304574456 0.3769243973679566
